DateTime,Air temperature | (°C),Pressure | (atm),Wind speed | (m/s),Power generated by system | (MW)
01-01-2019 01:00,10.926,0.979103,9.014,33.6881
01-01-2019 01:00,10.926,0.979103,9.014,33.6881
01-01-2019 01:00,10.926,0.979103,9.014,33.6881
01-01-2019 01:00,10.926,0.979103,9.014,33.6881
01-01-2019 01:00,10.926,0.979103,9.014,33.6881
01-01-2019 02:00,9.919,0.979566,9.428,37.2619
01-01-2019 02:00,9.919,0.979566,9.428,37.2619
01-01-2019 02:00,9.919,0.979566,9.428,37.2619
01-01-2019 02:00,9.919,0.979566,9.428,37.2619
01-01-2019 02:00,9.919,0.979566,9.428,37.2619
05-01-2019 07:00,15.058,0.976353,9.97,41.2384
05-01-2019 07:00,15.058,0.976353,9.97,41.2384
05-01-2019 07:00,15.058,0.976353,9.97,41.2384
05-01-2019 07:00,15.058,0.976353,9.97,41.2384
05-01-2019 07:00,15.058,0.976353,9.97,41.2384
05-01-2019 08:00,15.037,0.975986,10.262,44.0998
05-01-2019 08:00,15.037,0.975986,10.262,44.0998
05-01-2019 08:00,15.037,0.975986,10.262,44.0998
05-01-2019 08:00,15.037,0.975986,10.262,44.0998
05-01-2019 08:00,15.037,0.975986,10.262,44.0998
09-01-2019 13:00,0.447,0.98549,10.917,53.1118
09-01-2019 13:00,0.447,0.98549,10.917,53.1118
09-01-2019 13:00,0.447,0.98549,10.917,53.1118
09-01-2019 13:00,0.447,0.98549,10.917,53.1118
09-01-2019 13:00,0.447,0.98549,10.917,53.1118
09-01-2019 14:00,0.906,0.986073,9.803,42.1314
09-01-2019 14:00,0.906,0.986073,9.803,42.1314
09-01-2019 14:00,0.906,0.986073,9.803,42.1314
09-01-2019 14:00,0.906,0.986073,9.803,42.1314
09-01-2019 14:00,0.906,0.986073,9.803,42.1314
09-01-2019 15:00,3.258,0.986489,7.945,24.0046
09-01-2019 15:00,3.258,0.986489,7.945,24.0046
09-01-2019 15:00,3.258,0.986489,7.945,24.0046
09-01-2019 15:00,3.258,0.986489,7.945,24.0046
09-01-2019 15:00,3.258,0.986489,7.945,24.0046
09-01-2019 16:00,4.69,0.986835,7.883,23.3592
09-01-2019 16:00,4.69,0.986835,7.883,23.3592
09-01-2019 16:00,4.69,0.986835,7.883,23.3592
09-01-2019 16:00,4.69,0.986835,7.883,23.3592
09-01-2019 16:00,4.69,0.986835,7.883,23.3592
09-01-2019 17:00,5.979,0.986999,8.895,33.2332
09-01-2019 17:00,5.979,0.986999,8.895,33.2332
09-01-2019 17:00,5.979,0.986999,8.895,33.2332
09-01-2019 17:00,5.979,0.986999,8.895,33.2332
09-01-2019 17:00,5.979,0.986999,8.895,33.2332
09-01-2019 18:00,6.858,0.987219,9.387,37.5515
09-01-2019 18:00,6.858,0.987219,9.387,37.5515
09-01-2019 18:00,6.858,0.987219,9.387,37.5515
09-01-2019 18:00,6.858,0.987219,9.387,37.5515
09-01-2019 18:00,6.858,0.987219,9.387,37.5515
09-01-2019 19:00,7.37,0.987749,9.917,43.3073
09-01-2019 19:00,7.37,0.987749,9.917,43.3073
09-01-2019 19:00,7.37,0.987749,9.917,43.3073
09-01-2019 19:00,7.37,0.987749,9.917,43.3073
09-01-2019 19:00,7.37,0.987749,9.917,43.3073
09-01-2019 20:00,7.506,0.988137,9.892,43.0702
09-01-2019 20:00,7.506,0.988137,9.892,43.0702
09-01-2019 20:00,7.506,0.988137,9.892,43.0702
09-01-2019 20:00,7.506,0.988137,9.892,43.0702
09-01-2019 20:00,7.506,0.988137,9.892,43.0702
09-01-2019 21:00,7.287,0.988414,10.192,46.6452
09-01-2019 21:00,7.287,0.988414,10.192,46.6452
09-01-2019 21:00,7.287,0.988414,10.192,46.6452
09-01-2019 21:00,7.287,0.988414,10.192,46.6452
09-01-2019 21:00,7.287,0.988414,10.192,46.6452
09-01-2019 22:00,6.594,0.988951,9.661,40.6687
09-01-2019 22:00,6.594,0.988951,9.661,40.6687
09-01-2019 22:00,6.594,0.988951,9.661,40.6687
09-01-2019 22:00,6.594,0.988951,9.661,40.6687
09-01-2019 22:00,6.594,0.988951,9.661,40.6687
09-01-2019 23:00,4.875,0.989667,10.238,47.5107
09-01-2019 23:00,4.875,0.989667,10.238,47.5107
09-01-2019 23:00,4.875,0.989667,10.238,47.5107
09-01-2019 23:00,4.875,0.989667,10.238,47.5107
09-01-2019 23:00,4.875,0.989667,10.238,47.5107
10-01-2019 00:00,3.479,0.990336,10.269,48.0607
10-01-2019 00:00,3.479,0.990336,10.269,48.0607
10-01-2019 00:00,3.479,0.990336,10.269,48.0607
10-01-2019 00:00,3.479,0.990336,10.269,48.0607
10-01-2019 00:00,3.479,0.990336,10.269,48.0607
10-01-2019 01:00,2.554,0.990921,10.952,54.3854
10-01-2019 01:00,2.554,0.990921,10.952,54.3854
10-01-2019 01:00,2.554,0.990921,10.952,54.3854
10-01-2019 01:00,2.554,0.990921,10.952,54.3854
10-01-2019 01:00,2.554,0.990921,10.952,54.3854
10-01-2019 02:00,1.635,0.991531,10.488,49.8111
10-01-2019 02:00,1.635,0.991531,10.488,49.8111
10-01-2019 02:00,1.635,0.991531,10.488,49.8111
10-01-2019 02:00,1.635,0.991531,10.488,49.8111
10-01-2019 02:00,1.635,0.991531,10.488,49.8111
10-01-2019 03:00,0.42,0.991937,10.626,51.5978
10-01-2019 03:00,0.42,0.991937,10.626,51.5978
